compound,phase,neutral_charge
0,water,0.0143
0,gas,0.0338
0,decaline,0.0242
1,water,0.0143
1,gas,0.0338
1,decaline,0.0242
2,water,0.016
2,gas,0.0348
2,decaline,0.0254
3,water,0.018
3,gas,0.0361
3,decaline,0.0269
4,water,0.0191
4,gas,0.037
4,decaline,0.0281
5,water,0.0191
5,gas,0.0375
5,decaline,0.0285
6,water,0.0196
6,gas,0.0373
6,decaline,0.0238
7,water,0.0201
7,gas,0.0356
7,decaline,0.0281
8,water,0.0207
8,gas,0.0379
8,decaline,0.0292
9,water,0.0207
9,gas,0.0381
9,decaline,0.0292
10,water,0.021
10,gas,0.0385
10,decaline,0.0297
11,water,0.0213
11,gas,0.0354
11,decaline,0.028
12,water,0.0222
12,gas,0.0373
12,decaline,0.0298
13,water,0.0233
13,gas,0.0397
13,decaline,0.0313
14,water,0.0256
14,gas,0.0382
14,decaline,0.0318
15,water,0.0263
15,gas,0.0402
15,decaline,0.0329
16,water,0.0271
16,gas,0.0388
16,decaline,0.0325
17,water,0.0272
17,gas,0.0416
17,decaline,0.0341
18,water,0.0293
18,gas,0.0408
18,decaline,0.0346
19,water,0.0316
19,gas,0.0431
19,decaline,0.0369
20,water,0.1
20,gas,0.0404
20,decaline,0.032
21,water,0.1011
21,gas,0.0384
21,decaline,0.0309
22,water,0.1031
22,gas,0.0412
22,decaline,0.0341


